Date,Opinion,Pro,TweetText
3/13/19 5:10,Neutral,,"I appeal to @RSSorg, NCC, NSS, Nehru Yuva Kendra and @Brahmakumaris to help increase voter awareness and tap the power of society for democracy.'"
3/13/19 5:10,Neutral,,"Dear @anilkumble1074, @VVSLaxman281 and @virendersehwag - your heroic deeds on the cricket pitch have inspired millions. \n\nCome, it is time to inspire people once again, this time to vote in record numbers.'"
3/13/19 5:09,Neutral,,"I appeal to @RubikaLiyaquat, @anjanaomkashyap, @sudhirchaudhary, @rahulkanwal and the team of @republic to spread awareness on voter registration, and why every Indian, particularly the youth should vote. \n\nYour support can ensure more people exercise their franchise.'"
3/13/19 5:08,Neutral,,"Dear @BajrangPunia, @shankar_live and @BajpayeeManoj, \n\nYour talent and skill has entertained millions, and made India proud. \n\nYour voice is respected widely. \n\nPlease lend strength to our democracy by increasing voter awareness and inspiring people to vote.'"
3/13/19 5:05,Neutral,,"The prolific Phogat sisters, @geeta_phogat, @BabitaPhogat, @PhogatRitu and @Phogat_Vinesh manifest the best of Indian sporting talent. \n\nWe've seen you in the wrestling world. \n\nI urge you all to support the movement to ensure greater voter participation in the 'Chunavi Dangal.'"""
3/13/19 5:04,Neutral,,"Requesting @deepikapadukone, @aliaa08 and @AnushkaSharma to urge people to vote in large numbers for the coming elections. \n\nAs renowned film personalities whose work is admired by many, I am sure their message will have a positive impact on our citizens.'"
3/13/19 5:01,Neutral,,"Respected @CitiznMukherjee, \nBeing among India's most prolific statesmen and someone who has been active in politics for decades, you would understand the power of a vote. I request you to appeal to the people to enrich the festival of democracy by participating in large numbers."""
3/13/19 5:00,Neutral,,"When @mangeshkarlata Didi, @sachin_rt and @arrahman say something, the nation takes note!\n\nI humbly request these remarkable personalities to inspire more citizens to come out and vote in the 2019 elections. \n\nA vote is a great way to make the people's voice heard."""
3/13/19 4:54,Neutral,,"Dear @sarbanandsonwal, @himantabiswa, @SangmaConrad and @Neiphiu_Rio,  \n\nI request you to work towards increasing vote awareness in the Northeast. \n\nA vote is a powerful way for people to express and become active participants in India's growth trajectory."""
3/13/19 4:52,Neutral,,"Requesting @smitaprakash, @PTI_News, @navikakumar and @prasannavishy to embolden the cause of high voter turnout in the 2019 polls. As leading public voices associated with important platforms, your support on voter awareness will be valuable and beneficial for 130 crore Indians.'"
3/13/19 4:47,Neutral,,"My young friends @RanveerOfficial, @Varun_dvn &amp; @vickykaushal09, \n\nMany youngsters admire you. \n\nIt is time to tell them: Apna Time Aa Gaya Hai and that it is time to turn up with high Josh to a voting centre near you.'"
3/13/19 4:42,Neutral,,"Dear @RNTata2000, @anandmahindra and @ashishchauhan, \n\nIndia wins when our democracy gets strengthened. \n\nEnsuring maximum participation in voting is the perfect way to strengthen democracy. \n\nCan we all make this happen?'"
3/13/19 4:41,Neutral,,"Dear @srikidambi, @Pvsindhu1 &amp; @NSaina, \n\nThe core of badminton is the court and the core of democracy is the vote. \n\nJust like you smash records, do also inspire a record-breaking voter turnout. I request you to increase voter awareness &amp; motivate youth to vote in large numbers.'"
3/13/19 4:39,Neutral,,"India is proud of @Neeraj_chopra1, @DuttYogi and @WrestlerSushil. \nHowever, they made India win because they participated. I request Neeraj, Yogeshwar and Sushil to encourage people to participate in the elections and vote so that India wins here too!'"
3/13/19 4:38,Neutral,,"Dear @SriSri ji, @SadhguruJV ji, @yogrishiramdev ji and Sri M, \n\nSpiritual leaders like you inspire many through words and work. \n\nI request you to also inspire people towards greater democratic participation. \n\nPlease encourage greater voter awareness.'"
3/13/19 4:36,Neutral,,"Dear @k_satyarthi, @thekiranbedi and @sudarsansand, \n\nA vote gives voice to people's aspirations. \n\nAs widely respected personalities, your efforts towards increasing voter awareness will strengthen India's democracy. \n\nI request you to lend your voice for the same."""
3/13/19 4:35,Neutral,,"Dear @Mohanlal and @iamnagarjuna, \n\nYour performances have entertained millions over the years and you have also won many awards. I request you to create greater voter awareness and urge people to vote in large numbers.\n\nThe award here is, a vibrant democracy.'"
3/13/19 4:34,Neutral,,"Dear @HarsimratBadal_ , @ichiragpaswan and @AUThackeray, increasing awareness among the youth on the importance of voting is a paramount task in front of us. \n\nUrging you to do your best to ensure high public participation in the upcoming elections.'"
3/13/19 4:33,Neutral,,"Dear @NitishKumar, @irvpaswan and @pawanchamling5, soliciting your support and active participation in improving voting across the country in the coming elections. \n\nLet us strive to create an atmosphere where maximum voting can take place.'"
3/13/19 4:30,Neutral,,"I call upon KCR Garu, @Naveen_Odisha, @hd_kumaraswamy, @ncbn and @ysjagan to work towards bringing maximum Indians to the polling booths in the upcoming elections. May voter awareness efforts be strengthened across the length and breadth of India.'"
3/13/19 4:29,Neutral,,"I appeal to @RahulGandhi, @MamataOfficial, @PawarSpeaks, @Mayawati, @yadavakhilesh, @yadavtejashwi and @mkstalin to encourage increased voter participation in the upcoming Lok Sabha polls. A high turnout augurs well for our democratic fabric.'"
3/13/19 4:15,Neutral,,"Four requests for a stronger democracy.\n\nAn appeal to the voters of India, especially my young friends. \n\nhttps://t.co/sGsfK0p5lQ'"
3/12/19 3:34,Positive,,"Tributes to Bapu and all those who marched with him to Dandi in pursuit of justice and equality. \n\nSharing a few thoughts on the Dandi March, the ideals of Bapu and his disdain for the Congress culture in my blog.\n\nhttps://t.co/QVuDNCZoXL'"
3/11/19 13:35,Positive,,"Earlier today, had a wonderful interaction with a delegation of Parliamentarians from Bangladesh. https://t.co/BX2zmX449m'"
3/11/19 13:33,Positive,,Joined the ceremony in which Padma Awards were conferred on various distinguished citizens. \n\nCongratulations to all those who received the awards. \n\nIndia is proud of their exemplary service and accomplishments. https://t.co/QREg48bI5i'
3/11/19 13:31,Positive,,There was always a desire to serve Baba Bholenath and I am happy to have got that opportunity in the form of the Vishwanath Dham Project. https://t.co/y8sZ3ZTo72'
3/11/19 13:28,Positive,,Thank you! The Jan Aushadhi Kendras have helped crores of citizens across all age groups. It is a vital part of our efforts to ensure that healthcare is affordable and is of good quality. https://t.co/dTl2ZSMYfI'
3/11/19 13:27,Positive,,"Absolutely! The idea of 'One Nation, One Card' will further 'Ease of Living' and ensure a better quality of life, especially for those living in cities. https://t.co/sVcAkIBZRG"""
3/11/19 13:26,Positive,,Kannada is a beautiful language. https://t.co/opw8Rz4znA'
3/11/19 13:26,Positive,,Thank you. Hopefully more youngsters will know about the sacrifices of the great women and men who ensured we breathe the air of freedom. https://t.co/j8z9bfGMWQ'
3/11/19 13:25,Positive,,Nari Shakti has a central role in national progress. \n\nWe have always worked to create opportunities in various fields that empower women and ensure a life of dignity for them. https://t.co/3t0N0gTnx6'
3/11/19 13:24,Positive,,Greetings to Captain Amarinder Singh Ji on his birthday. Praying for his long and healthy life. @capt_amarinder'
3/11/19 7:35,Positive,,Boosting India and Bangladesh ties. Inaugurating key projects with PM Sheikh Hasina. Watch. https://t.co/Zhy5OAoouL'
3/11/19 3:45,Positive,,Majestic Gir Lion....Lovely picture! https://t.co/jl5zdxW9PV'
3/10/19 12:43,Positive,Pro Gov,"Guided by \xe2\x80\x98Sabka Saath, Sabka Vikas\xe2\x80\x99, NDA seeks your blessings again. \nWe spent the last five years fulfilling basic necessities that were left unfulfilled for 70 long years. Now, time has come to build on that and create a strong, prosperous &amp; secure India. #PhirEkBaarModiSarkar'"
3/10/19 12:41,Positive,Pro Gov,"India is proud that:\n\n2.5 crore families have electricity for the first time.\n\n7 crore households have smoke-free kitchens. \n\n1.5 crore Indians got their own homes.\n\nThese, and many other instances show that with the right approach and futuristic policies, nothing is impossible!'"
3/10/19 12:40,Positive,Pro Gov,Today:\n\n50 crore Indians have access to good quality and free healthcare. \n\n42 crore people of unorganised sector have access to old-age pension.\n\n12 crore farmer households get yearly monetary support of Rs. 6000.\n\nCrores of middle class families are exempt from income tax.'
3/10/19 12:39,Positive,Pro Gov,"Today, the people of India know that it is possible to:\n\nBecome the fastest growing economy.\n\nGive a befitting reply to terror. \n\nEliminate poverty at a record pace. \n\nMake India Swachh.\n\nRemove corruption and punish the corrupt. \n\nEnsure inclusive and extensive development.'"
3/10/19 12:38,Positive,Pro Gov,"The last five years have shown that with the blessings and participation of 130 crore Indians, what was earlier deemed impossible has now become possible. \n\n2019 polls are about a spirit of confidence and positivity with which India is fulfilling the aspirations of its people.'"
3/10/19 12:38,Positive,Pro Gov,Wishing all political parties and candidates the very best for the 2019 Lok Sabha elections. \n\nWe may belong to different parties but our aim must be the same- the development of India and empowerment of every Indian!'
3/10/19 12:35,Negative,Pro Gov,"In 2014, the people comprehensively rejected the UPA. There was unprecedented anger over the UPA\xe2\x80\x99s corruption, nepotism and policy paralysis. India\xe2\x80\x99s self-confidence was at an all-time low and the people of India wanted to rid the nation of such decay and pessimism.'"
3/10/19 12:33,Positive,,"Best wishes to the Election Commission, all those officials and security personnel who will be on the field, across the length and breadth of India assuring smooth elections. India is very proud of the EC for assiduously organising elections for several years.'"
3/10/19 12:33,Neutral,,"The festival of democracy, Elections are here. \n\nI urge my fellow Indians to enrich the 2019 Lok Sabha elections with their active participation. I hope this election witnesses a historic turnout. \n\nI particularly call upon first time voters to vote in record numbers.'"
3/10/19 9:56,Positive,,"We are all proud of @CISFHQrs's service to the nation. \n\nThey protect vital development infrastructure and thus, play a crucial role in India\xe2\x80\x99s growth.\n\nToday, on the 50th Raising Day of CISF, joined their programme and interacted with CISF personnel. https://t.co/HNIgUinvN3"""
3/10/19 9:50,Positive,,Paid tributes to the martyrs of @CISFHQrs for their outstanding service to the nation. https://t.co/pEMq7urBvS'
3/10/19 5:19,Positive,,India is proud of CISF! Watch my speech at their Raising Day programme. https://t.co/DebO2p0fC'
3/9/19 11:46,Positive,,"Ayushman Bharat has transformed lakhs of lives across India.\n\nHere is a book that chronicles a hundred such stories, of those who lead a healthier life thanks to Ayushman Bharat.\n\nRead, get inspired and share widely with others. \n\nhttps://t.co/xf3Y0O4jXg https://t.co/H8eM7KXM7M'"
3/9/19 11:43,Positive,,The Pandit Deendayal Upadhyaya Institute of Archaeology is a wonderful attempt towards connecting our coming generations with our glorious past. Happy to have inaugurated this institute today. https://t.co/hYRpsYzgNA'
3/9/19 11:42,Positive,,"Laid the foundation stones for thermal power plants in Buxar and Khurja. \n\nBy focussing on production, transmission, distribution and connection, the NDA Government has transformed the power sector. https://t.co/ZiJqdqIakA'"
3/9/19 11:42,Positive,,"Thank you Noida, for joining today's public meeting in such record numbers.\n\nI derive great strength from the blessings of the people. https://t.co/H6R0butrIs"""
3/9/19 10:33,Positive,Pro Gov,"Congratulations to the people of Chhattisgarh, Goa, Haryana, Himachal Pradesh, Jharkhand, Manipur, Meghalaya, Mizoram, Nagaland, Tripura and Uttarakhand for getting their own Doordarshan channels on DD Free Dish for the first time!'"
3/9/19 10:33,Positive,,"Glad to note that Prasar Bharati has brought 11 more State DD Channels on the Satellite footprint of India through DD Free Dish. This includes five channels for Northeastern states. This will go a long way in strengthening regional cultures and fulfilling people's aspirations. https://t.co/y5r9k6Mmws"""
3/9/19 7:44,Positive,Pro Gov,Inaugurating projects that will further \xe2\x80\x98Ease of Living\xe2\x80\x99 for people of Greater Noida. Watch. https://t.co/8B0QcA7xb3'
3/8/19 16:50,Positive,,With Party colleagues at the @BJP4India Parliamentary Board meeting. https://t.co/8jMSxWD0jC'
3/8/19 16:48,Positive,,India is united when it comes to fighting terrorism.\n\nIndia is proud of our armed forces and the nation trusts the forces.\n\n130 crore Indians have seen through the dirty politics of a handful of Opposition parties on national security! https://t.co/bDcxBfsMvy'
3/8/19 16:48,Positive,,Came back to Delhi from Ghaziabad via the Metro. \n\nHad delightful interactions with fellow passengers. https://t.co/6GTk2TPCw6'
3/8/19 16:38,Positive,,"Euphoric atmosphere at the public meeting in Ghaziabad, where multiple projects were inaugurated. Have a look at these pictures. https://t.co/nz5OOEf3EK'"
3/8/19 16:32,Positive,,"Do hear about the work happening in the Namami Gange Mission, and how it is positively impacting the people of Uttar Pradesh. https://t.co/XQHdbwaohG'"
3/8/19 16:30,Positive,,"The case of the Panki Power Plant shows best how BJP has worked on the energy sector in Uttar Pradesh while Congress, SP and BSP did simply nothing during their long tenures. https://t.co/AGT7Mh1T6q'"
3/8/19 16:29,Positive,,"Thoughtful and wonderful rendition, @ArkoPravo19! The song captures very well the accomplishments of India\xe2\x80\x99s Nari Shakti. \n\nMy best wishes. https://t.co/JAW7bf57pY'"
3/8/19 16:27,Positive,,RT @BJP4India: \xe0\xa4\xae\xe0\xa4\xb9\xe0\xa4\xbf\xe0\xa4\xb2\xe0\xa4\xbe\xe0\xa4\x93\xe0\xa4\x82 \xe0\xa4\x95\xe0\xa5\x8b \xe0\xa4\x86\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\xa5\xe0\xa4\xbf\xe0\xa4\x95 \xe0\xa4\x94\xe0\xa4\xb0 \xe0\xa4\xb8\xe0\xa4\xbe\xe0\xa4\xae\xe0\xa4\xbe\xe0\xa4\x9c\xe0\xa4\xbf\xe0\xa4\x95 \xe0\xa4\xb0\xe0\xa5\x82\xe0\xa4\xaa \xe0\xa4\xb8\xe0\xa5\x87 \xe0\xa4\xb8\xe0\xa5\x8d\xe0\xa4\xb5\xe0\xa4\xbe\xe0\xa4\xb5\xe0\xa4\xb2\xe0\xa4\x82\xe0\xa4\xac\xe0\xa5\x80 \xe0\xa4\xac\xe0\xa4\xa8\xe0\xa4\xbe\xe0\xa4\xa8\xe0\xa5\x87 \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\xb2\xe0\xa4\xbf\xe0\xa4\x8f  \xe0\xa4\xae\xe0\xa5\x8b\xe0\xa4\xa6\xe0\xa5\x80 \xe0\xa4\xb8\xe0\xa4\xb0\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xb0 \xe0\xa4\xa6\xe0\xa5\x8d\xe0\xa4\xb5\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa4\xbe \xe0\xa4\x9a\xe0\xa4\xb2\xe0\xa4\xbe\xe0\xa4\x88 \xe0\xa4\x9c\xe0\xa4\xbe \xe0\xa4\xb0\xe0\xa4\xb9\xe0\xa5\x80 \xe0\xa4\xaf\xe0\xa5\x8b\xe0\xa4\x9c\xe0\xa4\xa8\xe0\xa4\xbe\xe0\xa4\x93\xe0\xa4\x82 \xe0\xa4\x95\xe0\xa4\xbe \xe0\xa4\xb2\xe0\xa4\xbe\xe0\xa4\xad \xe0\xa4\x89\xe0\xa4\xa0\xe0\xa4\xbe \xe0\xa4\xa8\xe0\xa4\xbe\xe0\xa4\xae\xe0\xa5\x81\xe0\xa4\xae\xe0\xa4\x95\xe0\xa4\xbf\xe0\xa4\xa8 \xe0\xa4\x95\xe0\xa5\x8b \xe0\xa4\xad\xe0\xa5\x80\xe2\x80\xa6'
3/8/19 16:27,Positive,,"RT @BJP4India: \xe0\xa4\xa8\xe0\xa5\x8d\xe0\xa4\xaf\xe0\xa5\x82 \xe0\xa4\x87\xe0\xa4\x82\xe0\xa4\xa1\xe0\xa4\xbf\xe0\xa4\xaf\xe0\xa4\xbe \xe0\xa4\x95\xe0\xa5\x80 \xe0\xa4\x95\xe0\xa4\xb9\xe0\xa4\xbe\xe0\xa4\xa8\xe0\xa5\x80, \xe0\xa4\xa6\xe0\xa5\x87\xe0\xa4\xb6 \xe0\xa4\x95\xe0\xa5\x80 \xe0\xa4\x8f\xe0\xa4\x95 \xe0\xa4\xac\xe0\xa5\x87\xe0\xa4\x9f\xe0\xa5\x80 \xe0\xa4\x95\xe0\xa5\x80 \xe0\xa4\x9c\xe0\xa5\x81\xe0\xa4\xac\xe0\xa4\xbe\xe0\xa4\xa8\xe0\xa5\x80... #NewIndia4NariShakti https://t.co/xkqDcVKpa1'"
3/8/19 13:12,Positive,,"Yesterday, I had a great time with Divyang friends at my residence. Sharing some memorable moments. https://t.co/1PlT12Igws'"
3/8/19 13:05,Positive,,"Self Help Groups play an important role in our society. During our tenure, new vigour has been added in the working of SHGs, which will further empowerment of women. https://t.co/R98z1SlrD7'"
3/8/19 12:33,Positive,,Inaugurating multiple development works in Ghaziabad. Watch. https://t.co/TiQEshT9SP'
3/8/19 12:31,Positive,,"Today, on International Women\xe2\x80\x99s Day, interacted with over 65 lakh women from 75,000 locations all over India. \n\nSharing some glimpses. https://t.co/6tmihBG6Qi'"
3/8/19 9:30,Positive,,Overwhelmed by the warmth and support in Kanpur. Watch my speech. https://t.co/SDCcrV80hW'
3/8/19 7:25,Positive,,Vishwanath Dham is an exercise happening at a scale unseen for many years. Among the notable aspects of the project is that Maa Ganga\xe2\x80\x99s Darshan from Kashi Vishwanath Temple will be possible. \n\nI would like to thank the people of Kashi for enthusiastically supporting the project. https://t.co/VQDLoGytXK'
3/8/19 7:23,Positive,,"Began my Kashi visit by praying at the Kashi Vishwanath Temple, a symbol of our culture\xe2\x80\x99s pride. In the Temple complex, performed the Bhumipujan of Vishwanath Dham project, a futuristic corridor around the Temple that will benefit several pilgrims and tourists coming to Kashi. https://t.co/bp8fRcMTZw'"
3/8/19 1:35,Positive,,Birthday greetings to @VasundharaBJP Ji. Vasundhara Ji\xe2\x80\x99s good work in Rajasthan ensured substantial progress in the state. Praying for her long and healthy life.'
3/8/19 1:15,Positive,,"On International Women's Day, we salute our indomitable Nari Shakti.\n\nWe are proud to have taken numerous decisions that have furthered women empowerment.\n\nEvery Indian is proud of the stupendous accomplishments of women in various spheres. #NewIndia4NariShakti https://t.co/NPTN62Lqek"""
3/7/19 15:23,Positive,,"The Dictionary of Martyrs of India\xe2\x80\x99s Freedom Struggle is a humble tribute to the great personalities who sacrificed their present for the glorious future of India. \nI compliment all those who have been working assiduously on this exercise, which is remarkable and one of its kind. https://t.co/iDmoQ1Cztu'"
3/7/19 15:21,Positive,,"We had a memorable programme at 7, Lok Kalyan Marg today. \n\nIn the presence of young Divyang friends, a new series of visually impaired friendly coins were launched. \n\nThese coins will help the visually impaired greatly. https://t.co/zKKLb2zXAf'"
3/7/19 13:57,Positive,,Janaushadhi Kendras across India are at the forefront of providing affordable medicines to the poor. This initiative has added significant strength to the efforts of the Central Government to ensure every Indian has access to healthcare that is of good quality and is affordable. https://t.co/2W8SuVmvqe'
3/7/19 13:56,Positive,,"Thanks to Janaushadhi Kendras, there is no need to go back from a medical store just because medicines are exorbitantly priced.\n\nOurs is a Government that cares and is ensuring affordable medicines for India's hardworking people. https://t.co/fNsimEvmJh"""
3/7/19 13:56,Positive,,"Healthcare costs in urban areas are rising considerably. In such times, Janaushadhi Kendras offer a ray of hope. Here is an interaction with people in Delhi. https://t.co/YcAHBQZcDt'"
3/7/19 13:55,Positive,Pro Gov,"In addition to creating a healthier India, the Pradhan Mantri Bhartiya Janaushadhi Pariyojana has created economic opportunities for many. \n\nDharmesh Bhai from Surat told me about his switch from a career in marketing to running a store under PMBJP. Have a look. https://t.co/jxIae4KTwh'"
3/7/19 13:54,Positive,Pro Gov,"The Rathore family from Rajasthan's Bikaner is more than satisfied with the quality of medicines thanks to Pradhan Mantri Bhartiya Janaushadhi Pariyojana. I thank young Lokendra for his kind words too. https://t.co/EdGgtbbVVZ"""
3/7/19 13:07,Positive,,India salutes all those greats who took part in the freedom struggle. https://t.co/IzwwlTisDD'
3/7/19 12:08,Positive,,A historic occasion for Maharashtra! Watch. https://t.co/dXNwEvdeiJ'
3/7/19 10:35,Positive,,Steps that will improve governance in the Northeast. Watch. https://t.co/uKq4H4xIQf'
3/7/19 7:34,Positive,,A great interaction with Pradhan Mantri Bhartiya Janaushadhi Pariyojana beneficiaries. Watch. https://t.co/86AlnK12an'
3/7/19 6:41,Positive,,"At 1 PM this afternoon, I will interact with beneficiaries and entrepreneurs associated with the Pradhan Mantri Bhartiya Janaushadhi Pariyojana, from over 5000 locations. During the interaction, beneficiaries will share their own experiences. Do watch live!'"
3/6/19 16:49,Positive,,"NDA\xe2\x80\x99s priorities are India First.\n\nNDA\xe2\x80\x99s policies put people first.\n\nOur decisiveness, work culture and track record are known to everyone.\n\nOpposition lacks proper leadership and a vision to take the country forward. https://t.co/eOotEiXHTr'"
3/6/19 16:48,Positive,,"The NDA is best suited to fulfil regional aspirations. \n\nCongress has always trampled over regional aspirations, pride and insulted any leader who does not bow to their High Command. https://t.co/BFQR3HWYp4'"
3/6/19 16:47,Positive,,"Son of the soil, Bharat Ratna MGR lives on in the hearts of crores of people.\n\nInaugurated a statue in his honour and also announced the decision to rename Chennai Central Station after him.\n\nNDA will always work hard to fulfil the dreams of MGR. https://t.co/mpdULpCU2C'"
3/6/19 16:47,Positive,,"I thank all those who joined the NDA rally in Kancheepuram, Tamil Nadu.\n\nNDA in Tamil Nadu is a wide ranging coalition, which will always work for the people of the state. \n\nI urge my sisters and brothers of Tamil Nadu to bless NDA in the upcoming elections. https://t.co/9W6jThQJoM'"
3/6/19 16:43,Positive,,"India is home to the world\xe2\x80\x99s largest healthcare programme, Ayushman Bharat.\n\nToday in Kalaburagi, I met beneficiaries of the flagship healthcare scheme and heard their experiences. https://t.co/UsBl360QQu'"
3/6/19 16:34,Positive,,"The NDA Government at the Centre has come down heavily on corruption. \n\nMiddlemen no longer get access to the corridors of power.\n\nThat is why, those who thrived in the earlier times dislike me and are getting together to form a \xe2\x80\x98Maha Milawat\xe2\x80\x99 or adulterated alliance. https://t.co/jU5ZKrMAU8'"
3/6/19 16:33,Positive,,"In Kalaburagi, highlighted steps taken by the Central Government for those associated with the sugarcane sector. https://t.co/iv75z0Mmwq'"
3/6/19 16:32,Positive,,These pictures from Kalaburagi show the strong support for @BJP4India.\n\nKarnataka is tired of the opportunistic alliance between Congress and JD(S).\n\nThey promised to waive loans but ended up harassing farmers and filing cases against them. https://t.co/f3KIY8UAaC'
3/6/19 11:48,Positive,,Vanakkam Kancheepuram. Happy to be here. Watch my speech at the NDA rally. https://t.co/NVHY5MiMju'
3/6/19 7:21,Positive,,Addressing a huge public meeting in Kalaburagi. Watch. https://t.co/VGUsk0WI2A'
3/6/19 2:55,Positive,,The @PrayagrajKumbh set notable records. Emphasis on cleanliness &amp
3/6/19 2:55,Positive,,"Congratulations to the people of UP, especially Prayagraj, and the entire State Government under CM @myogiadityanath Ji for the exceptional organisation of @PrayagrajKumbh. \n\nThis Kumbh showcased the best of our culture, spirituality and will be remembered for years to come.'"
3/6/19 2:52,Positive,,"RT @PrayagrajKumbh: Kumbh 2019 now holds a Guinness World Record. By organising the historic parade of 510 Shuttle Buses in #Kumbh2019,  Pr\xe2\x80\xa6'"
3/6/19 2:52,Positive,,"RT @PrayagrajKumbh: Another record achieved by Kumbh 2019.The Guinness World Record for ""Most contribution to a Handprint Painting in 8 hou\xe2\x80\xa6'"
3/6/19 2:52,Positive,,"RT @PrayagrajKumbh: #Kumbh2019 has made a Hattrick under the Guinness World Records, a new record of ""Most People Sweeping the Floor (Multi\xe2\x80\xa6'"
3/6/19 2:37,Positive,,Looking forward to being in Kancheepuram for the launch of many development works relating to road and railways sector. \n\nThe Ennore LNG Terminal will be dedicated to the nation. \n\nA statue of the great MGR will be unveiled at Dr. MGR Janaki College of Arts &amp
