TweetText,Name,Opinion
"b'Those who ruled the nation for decades were not serious about the welfare of our armed forces. There are several examples to illustrate this point. \n\nFrom Bofors to Helicopter Scam, why is it that the same people\xe2\x80\x99s names come up? https://t.co/7F0XOh3BSr'",Namo,Negative
b'Making India self-sufficient as far as defence production is concerned. https://t.co/5QXwjp8TpP',Namo,Positive
"b'With the blessings of the people of India, the four decade old demand for OROP was fulfilled during the tenure of the NDA government. \n\nSeveral ex-servicemen benefitted from this decision. https://t.co/MGyn1f56w7'",Namo,Positive
b'Addressing ex-servicemen before the dedication of #NationalWarMemorial to the nation. https://t.co/CX4vWogbTl',Namo,Positive
"b'In a short while from now, Rashtriya Samar Smaarak, the #NationalWarMemorial will be dedicated to the nation. \n\nHere are some glimpses of the Memorial, located near India Gate in Central Delhi. https://t.co/ktA9hhudOL'",Namo,Positive
"b'The people of Prayagraj must be congratulated for being exceptional hosts of the Kumbh in the city.\n\nThe efforts of the Naviks, local administration, police personnel have been noteworthy. \n\nCongratulations to the UP Government for their stupendous organisation of the Kumbh!'",Namo,Positive
"b'Moments I\xe2\x80\x99ll cherish for my entire life! \n\nHonouring remarkable Safai Karamcharis, who have taken the lead when it comes to realising the dream of a Swachh Bharat! \n\nI salute each and every person making a contribution towards a Swachh Bharat https://t.co/IsjuCgjlkn'",Namo,Positive
"b'Enrich the programme on 28th by:\n\nMobilising family &amp; friends to join.\n\nFilling People\xe2\x80\x99s Pulse survey and giving ground level feedback from your constituency. \n\nDonate to BJP, boost morale of Karyakartas. \n\nShare thoughts on NaMo App or social media using #MeraBoothSabseMazboot.'",Namo,Positive
"b'Addressing the \xe2\x80\x98Swachh Kumbh, Swachh Aabhaar\xe2\x80\x99 programme in Prayagraj. https://t.co/1YKbkyiET2'",Namo,Positive
b'Had the good fortune of taking a holy dip at the #Kumbh. Prayed for the well being of 130 Crore Indians. https://t.co/jTI2QbmWxb',Namo,Positive
"b'Long live India\xe2\x80\x99s farmers!\n\n#PMKisan Yojana enhances the dignity of farmers, brings prosperity in their lives and contributes to India\xe2\x80\x99s agricultural transformation. https://t.co/DpSy9HZEiN'",Namo,Positive
"b""\xe0\xa4\x86\xe0\xa4\x9c \xe0\xa4\xac\xe0\xa4\xbe\xe0\xa4\xac\xe0\xa4\xbe \xe0\xa4\x97\xe0\xa5\x8b\xe0\xa4\xb0\xe0\xa4\x96\xe0\xa4\xa8\xe0\xa4\xbe\xe0\xa4\xa5 \xe0\xa4\x95\xe0\xa5\x80 \xe0\xa4\xa7\xe0\xa4\xb0\xe0\xa4\xa4\xe0\xa5\x80 \xe0\xa4\x97\xe0\xa5\x8b\xe0\xa4\xb0\xe0\xa4\x96\xe0\xa4\xaa\xe0\xa5\x81\xe0\xa4\xb0 \xe0\xa4\xb8\xe0\xa5\x87 '\xe0\xa4\xaa\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa4\xa7\xe0\xa4\xbe\xe0\xa4\xa8\xe0\xa4\xae\xe0\xa4\x82\xe0\xa4\xa4\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa5\x80 \xe0\xa4\x95\xe0\xa4\xbf\xe0\xa4\xb8\xe0\xa4\xbe\xe0\xa4\xa8 \xe0\xa4\xb8\xe0\xa4\xae\xe0\xa5\x8d\xe0\xa4\xae\xe0\xa4\xbe\xe0\xa4\xa8 \xe0\xa4\xa8\xe0\xa4\xbf\xe0\xa4\xa7\xe0\xa4\xbf' \xe0\xa4\xaf\xe0\xa5\x8b\xe0\xa4\x9c\xe0\xa4\xa8\xe0\xa4\xbe \xe0\xa4\x95\xe0\xa5\x80 \xe0\xa4\xb6\xe0\xa5\x81\xe0\xa4\xb0\xe0\xa5\x81\xe0\xa4\x86\xe0\xa4\xa4 \xe0\xa4\xb9\xe0\xa5\x81\xe0\xa4\x88\xe0\xa5\xa4\n\n\xe0\xa4\x87\xe0\xa4\xb8 \xe0\xa4\x90\xe0\xa4\xa4\xe0\xa4\xbf\xe0\xa4\xb9\xe0\xa4\xbe\xe0\xa4\xb8\xe0\xa4\xbf\xe0\xa4\x95 \xe0\xa4\x85\xe0\xa4\xb5\xe0\xa4\xb8\xe0\xa4\xb0 \xe0\xa4\xaa\xe0\xa4\xb0 \xe0\xa4\xae\xe0\xa5\x88\xe0\xa4\x82 \xe0\xa4\xa6\xe0\xa5\x87\xe0\xa4\xb6\xe0\xa4\xad\xe0\xa4\xb0 \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\x95\xe0\xa4\xb0\xe0\xa5\x8b\xe0\xa4\xa1\xe0\xa4\xbc\xe0\xa5\x8b\xe0\xa4\x82 \xe0\xa4\x95\xe0\xa4\xbf\xe0\xa4\xb8\xe0\xa4\xbe\xe0\xa4\xa8 \xe0\xa4\xaa\xe0\xa4\xb0\xe0\xa4\xbf\xe0\xa4\xb5\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa5\x8b\xe0\xa4\x82 \xe0\xa4\x95\xe0\xa5\x8b \xe0\xa4\xac\xe0\xa4\xa7\xe0\xa4\xbe\xe0\xa4\x88 \xe0\xa4\xa6\xe0\xa5\x87\xe0\xa4\xa4\xe0\xa4\xbe \xe0\xa4\xb9\xe0\xa5\x82\xe0\xa4\x82\xe0\xa5\xa4 #PMKisan https://t.co/HF0SzKzIac""",Namo,Positive
"b""My fellow Indians, \n\nDo you wish to see an India where everyone has access to good quality and affordable healthcare?\n\nIf so, then here's an appeal from me about what you can do... #MannKiBaat https://t.co/Phbaf0LUN8""",Namo,Positive
"b'Popularising local paintings of Kutch,\n\nServing Divyang sisters and brothers,\n \nImproving local irrigation networks,\n\nFighting timber mafia and Maoists,\n\nSpoke about Padma Awardees and how the awards honour fine individuals working silently at the grassroots. #MannKiBaat https://t.co/2ehYr9tpXd'",Namo,Positive
"b'The wait for our own National War Memorial is over!\n\nTomorrow, India will get its own War Memorial, which will honour those who protect us with utmost valour.\n\nI am sure visiting the war memorial will be no less than a pilgrimage! #MannKiBaat https://t.co/zhsYERdpRD'",Namo,Positive
"b""The 44th Amendment made our democracy stronger and ensured authoritarian tendencies can't subvert our Constitution, like what was done during the Emergency. \n\nDuring #MannKiBaat today, we paid tributes to Morarjibhai Desai and his role in protecting our democratic fabric. https://t.co/H2YHMlMBXJ""",Namo,neutral
b'India stands with our farmers! Launching the #PMKisan Yojana from Gorakhpur. Watch. https://t.co/tCTLIGXOPB',Namo,Positive
b'Discussing several subjects during #MannKiBaat. Tune in. https://t.co/rgaogMogjP',Namo,Positive
b'Today\xe2\x80\x99s #MannKiBaat is special! Do tune in at 11 AM. \n\nLater on don\xe2\x80\x99t say I didn\xe2\x80\x99t tell you in advance :) https://t.co/LT8N5Mkyev',Namo,Negative
"b'Tributes to Jayalalithaa Ji on her birth anniversary. Her contribution towards the development of Tamil Nadu will be remembered for generations. A fine administrator and compassionate leader, her welfare measures benefitted countless poor people.'",Namo,Positive
"b""Tomorrow\xe2\x80\x99s launch of PM Kisan Samman Nidhi demonstrates two things:\n\nNDA's unwavering commitment to farmer welfare.\n\nSpeedy decision making- a scheme announced on 1st February has become a reality in such a short span. \n\nThis is the new work culture of New India!""",Namo,Positive
b'Tomorrow is a historic day! The Pradhan Mantri Kisan Samman Nidhi will be launched from Gorakhpur. This is a scheme that will give wings to the aspirations of crores of hardworking farmers of India who feed our nation.',Namo,Positive
b'A historic accomplishment by a stellar athlete! \n\nCongratulations to @apurvichandela for winning the Gold in the 10m Air Rifle event at the ISSF World Cup. Her success makes every Indian proud and motivates more youngsters to excel in various sports! https://t.co/fVGS3Cnfyk',Namo,Positive
"b""India missed the bus when it came to the first three industrial revolutions but as far as the Fourth Industrial Revolution is concerned, this is a bus we haven't simply boarded, but we will also drive it! https://t.co/A2YFzpkUSd""",Namo,Positive
b'There are competitions now and there were competitions before 2014. \n\nWhich ones do you prefer? https://t.co/7VTBnyN5Ol',Namo,Negative
"b'Over the last 4.5 years, \n\nHesitations made way for hope. \n\nObstacles have been replaced by optimism. \n\nIssues have been sorted out by initiatives. \n\nThe results of the efforts can be seen in many global rankings too. https://t.co/ei2nKAuwnj'",Namo,Positive
b'Addressing the @EconomicTimes Global Business Summit. Watch. #ETGBS https://t.co/yoc9c5VtuY',Namo,Positive
b'I would like to specially thank President @moonriver365 and FL Kim Jung-sook. It was wonderful to interact with them. President Moon and I will continue working together for stronger ties between India and the Republic of Korea.',Namo,Positive
b'Gratitude to the people and Government of the Republic of Korea for the exceptional warmth during my visit. This visit will lead to closer economic and cultural relations between our countries. Strong India-Korea ties benefit not only Asia but the entire world. https://t.co/r6oY4XJ8XP',Namo,Positive
b'India will always do everything possible to contribute to global peace and progress. https://t.co/14JvyzBL8P',Namo,Positive
b'The solution to hardships is in hard work. \n\nWe are leaving no stone unturned to bring a transformative change in the lives of 130 crore Indians. https://t.co/aRVNBqlyFT',Namo,Positive
"b'I would be giving the prize money of the #SeoulPeacePrize to the Namami Gange fund. It is our collective duty to ensure a clean Ganga, which is so central to our culture. https://t.co/hoIkNVYIj2'",Namo,Positive
b'Here are some glimpses from the ceremonial welcome at the \n@TheBlueHouseKR. https://t.co/0hKgKYaHcN',Namo,Positive
"b'The Act East Policy of India and President @moonriver365\xe2\x80\x99s New Southern Policy augur well for close friendship between India and the Republic of Korea. Today, President Moon and I talked about cooperation in areas like ports, food processing and the vital infrastructure sector. https://t.co/MdmeHfnIQt'",Namo,Positive
b'Held productive discussions with President @moonriver365 on various aspects relating to India-Korea relations. Today\xe2\x80\x99s discussions will add further vigour to bilateral relations between our nations. https://t.co/N881KUYBcm',Namo,Positive
b'The Seoul Peace Prize is dedicated to the people of India &amp,Namo,Positive
b'Addressing the media after the productive talks with President @moonriver365. Watch. https://t.co/qIU0dNdHVB',Namo,Positive
"b""Interacting with the Republic of Korea's dynamic Indian community. Watch. https://t.co/RmeeYyPtie""",Namo,Positive
"b'Here are some glimpses from Yonsei University, where Mahatma Gandhi\xe2\x80\x99s bust was unveiled. \n\nThe august presence of President @moonriver365, FL Kim Jung-sook and my friend, Mr. Ban Ki-moon (former Secretary General of the United Nations) made the programme even more special. https://t.co/9z0bm4mJQa'",Namo,Positive
"b'The start-up sector has the energy of youngsters as well as the zeal to create something unique and beneficial for fellow citizens. \n\nBoth India and the Republic of Korea are giving topmost importance to this sector. Hence, it is natural to deepen cooperation in start-ups. https://t.co/7ullbFkneC'",Namo,Positive
"b'Over the last four and a half years, the transformative changes have led to:\n\nSound economic fundamentals. \n\nConsistent growth. \n\nPathbreaking reforms. \n\nFruits of development reaching the poorest of the poor.\n\nFast paced creation of futuristic infrastructure. https://t.co/Wefyrk3dBl'",Namo,Positive
"b'For the last four and a half years, India has witnessed unprecedented transformation. \n\nI hope companies from the Republic of Korea leverage the series of opportunities India offers. https://t.co/5EDbVBdxnu'",Namo,Positive
b'Bapu\xe2\x80\x99s voice reverberates globally! Unveiling a bust of Gandhi Ji in Seoul. https://t.co/KQH3l5TZoG',Namo,Positive
b'Addressing Indian and Korean businesspersons in Seoul. Watch. https://t.co/d2HH7L0nnU',Namo,Positive
"b'Subjects relating to world peace, security, the need to fight terrorism figured during the talks with HRH Mohammed Bin Salman.'",Namo,Positive
b'HRH Mohammed Bin Salman and I discussed aspects relating to closer investment ties between our nations. We also had discussions relating to the oil and energy sector. I am glad that Saudi Arabia has decided to strengthen the International Solar Alliance with its participation. https://t.co/RNLsTGHE29',Namo,Positive
"b'Held extensive talks with HRH Mohammed Bin Salman, the Crown Prince of Saudi Arabia. \n\nIndia\xe2\x80\x99s ties with Saudi Arabia are historical and time-tested. \n\nSaudi Arabia is a valued strategic partner of India in the 21st century. https://t.co/2oDOaxeHJ5'",Namo,Positive
"b'During our talks, President @moonriver365 and I will take forward our conversations from last year on how best to advance the India-ROK partnership. \n\nI will also meet business leaders,  the Indian community as well as eminent persons from all walks of life.'",Namo,Positive
"b'As fellow democracies, India and ROK have shared values and a vision for world peace. \n\nAs fellow market economies, our needs and strengths are complementary. \n\nROK is an important partner for @makeinindia, @swachhbharat and @startupindia initiatives.'",Namo,Positive
"b'This evening, I will be leaving for the Republic of Korea at the invitation of President @moonriver365. \n\nWe regard the Republic of Korea as a valued friend with which we have a Special Strategic Partnership. \n\nThe visit will boost bilateral cooperation. \nhttps://t.co/HTIdz1eQwq'",Namo,Positive
"b'Addressing the media after talks with HRH Mohammed Bin Salman, the Crown Prince of Saudi Arabia. https://t.co/H2tBemYuy7'",Namo,Negative
b'Best wishes on Mizoram Statehood Day. \n\nThe people of Mizoram are known for their valour and rich value systems. The entire nation is proud of the Mizo culture and the contribution of the state towards India\xe2\x80\x99s progress. \n\nPraying for Mizoram\xe2\x80\x99s growth in the coming years.',Namo,Positive
b'Greetings to the people of Arunachal Pradesh on their Statehood Day. \n\nThe culture of Arunachal Pradesh is special and its people are known for their wonderful nature as well as patriotic zeal. \n\nMay the state continue to prosper in the years to come.',Namo,Positive
"b'India is delighted to welcome HRH Mohammed Bin Salman, the Crown Prince of Saudi Arabia. https://t.co/wBK1F1UZAA'",Namo,Positive
b'Memorable moments from the public meeting in Varanasi. https://t.co/Hw2O4A3FBD',Namo,Positive
"b'Remarkable strides in the IT and health sector, that will benefit Uttar Pradesh, especially Purvanchal. https://t.co/peDM98XDAO'",Namo,Positive
"b'In Varanasi, flagged off the first ever Diesel to Electric Converted Locomotive. \n\nI congratulate the entire team that has worked on this historic accomplishment, which will enhance the efforts of the Railways towards electrification. https://t.co/0VmNI6BReF'",Namo,Positive
"b'Today, on the auspicious occasion of Ravidas Jayanti, offered prayers at the Shri Guru Ravidass Janam Asthan. \n\nGuru Ravidas\xe2\x80\x99 message of harmony, equality and efforts to empower the poor continue to motivate people across India. https://t.co/xSxBiHQ62M'",Namo,Positive
"b'I bow to Chhatrapati Shivaji Maharaj on his Jayanti. \n\nA warrior for truth and justice, he is revered as an ideal ruler, devout patriot and is particularly respected by the poor and downtrodden. Jai Shivaji! https://t.co/VUrv3e3TUk'",Namo,Positive
"b'Inspired by the vision of Atal Ji and Balasaheb Thackeray Ji, BJP-Shiv Sena alliance will continue working for the well-being of Maharashtra and ensuring the state once again elects representatives who are development oriented, non corrupt and proud of India\xe2\x80\x99s cultural ethos.'",Namo,Positive
b'Our association with the @ShivSena goes beyond politics. We are bound by a desire to see a strong and developed India. \n\nThe decision to contest together strengthens the NDA significantly. I am sure our alliance is going to be Maharashtra\xe2\x80\x99s first and only choice!',Namo,Positive
"b'Today, ten MoUs were signed between India and Argentina. \n\nCovering sectors such as defence, tourism, pharmaceuticals, agriculture, IT and civil nuclear cooperation, these agreements will further cement relations between our nations. @mauriciomacri https://t.co/VPPY43rR30'",Namo,Positive
"b'During the talks today, President @mauriciomacri and I discussed ways to deepen trade ties. The coming of a large Argentinian business delegation to India augurs well for strong economic relations. https://t.co/RPd8OcnYaq'",Namo,Positive
b'President @mauriciomacri and I discussed aspects relating to security and terrorism. \n\nWe agree that forces of terror pose a serious threat to world peace and it is important for humanitarian forces to join hands and fight the menace of terror. https://t.co/I0tnbnIEhw',Namo,Positive
"b'Delighted to welcome President @mauriciomacri. \n\nToday was our fifth meeting, indicating the priority we accord to close friendship between India and Argentina. \n\nWe are meeting at a time when we complete 70 years of bilateral diplomatic ties between our countries. https://t.co/Ocdg80K1Uz'",Namo,Positive
"b""Joined the programme to mark the conferring of the 'Tagore Award For Cultural Harmony' for 2014, 2015 and 2016.\n\nI congratulate Rajkumar Singhajit Singh Ji, Chhayanaut and Ram V. Sutar Ji on being conferred the Tagore Award for their rich contribution to culture, art and music. https://t.co/davsqdFHX4""",Namo,Positive
b'Ensuring \xe2\x80\x98Ease of Living\xe2\x80\x99 for my sisters and brothers of Jharkhand. https://t.co/6BqqCvDX3V',Namo,Positive
b'Boosting Bihar\xe2\x80\x99s development. Inaugurating multiple projects in Barauni. https://t.co/w9p8kadMsg',Namo,Positive
b'This month\xe2\x80\x99s #MannKiBaat programme will take place on the 24th. \n\nDial 1800-11-7800 to record a message for the programme. \n\nExpress your wonderful ideas on either the MyGov Open Forum or the NaMo App. https://t.co/rhhwUbnfMV',Namo,Positive
"b'Will be in Hazaribagh, Jharkhand today to inaugurate:\n\nThree medical college buildings.\n\nFour rural water supply schemes.\n\nSahibganj Sewerage Treatment Plant\n\nMadhusudan Ghat.\n\nFoundation stone for many projects will also be laid. \n\nKnow more. https://t.co/JJvMoit753'",Namo,Positive
"b'I look forward to being in Bihar\xe2\x80\x99s Barauni. \n\nThe inauguration and laying of foundation stones for projects relating to urban development, sanitation, railways, oil and gas, healthcare as well as fertilisers will take place today. https://t.co/spZzs1sw7i'",Namo,Positive
"b'Greetings to Telangana\xe2\x80\x99s Chief Minister, Shri K. Chandrashekar Rao Garu on his birthday. May Almighty bless him with a long life filled with good health. @TelanganaCMO'",Namo,Positive
"b'In Yavatmal, talked about landmark decisions for the benefit of farmers and nomadic communities. https://t.co/X6uqbxs1mT'",Namo,Negative
"b'Connecting people, furthering aspirations. \n\nThe foundation stones and inaugurations took place for many connectivity related projects, which will improve convenience for people in Yavatmal and surrounding areas. \n\nSeveral people also got their own new homes. https://t.co/JwlDusVs46'",Namo,Positive
b'Dhule and Gau Mata have a glorious history. \n\nThe proposed Kamdhenu Aayog will have a transformative impact as far as the animal husbandry sector is concerned. https://t.co/1nIv4q0aLg',Namo,Positive
"b'A significant effort has been made today to overcome the issue of water scarcity in Maharashtra. \n\nAt the same time, there is emphasis on ensuring better irrigation and improving sewer systems. https://t.co/DBnMW09UlD'",Namo,Positive
b'It was good interacting with my sisters and brothers of Maharashtra during programmes at Yavatmal and Dhule. \n\nHere are some glimpses. https://t.co/vkrtfw4WJA',Namo,Positive
b'Improving irrigation and connectivity in Maharashtra. https://t.co/u2vBhj7rOo',Namo,Positive
"b'Enhancing education, housing and financial inclusion for the poor. https://t.co/vt0vas5Axp'",Namo,Negative
"b'We salute you, brave sons of Mother India. \n\nYou lived for the nation and served the country with unparalleled valour. \n\nWe stand in solidarity with the bereaved families. https://t.co/tav2J3hSMI'",Namo,Positive
"b'A grateful nation bows to the martyrs of Pulwama. \n\nA befitting reply will be given to the perpetrators of the heinous attack and their patrons. \n\nNo force will succeed in disturbing peace, progress and stability of India. https://t.co/hFq0pUByVJ'",Namo,Positive
"b""India gets the first Semi High Speed Train, 'Vande Bharat Express.' https://t.co/dSZLJaoWRY""",Namo,Neutral
b'Spoke to Home Minister Rajnath Singh Ji and other top officials regarding the situation in the wake of the attack in Pulwama.',Namo,Negative
b'Attack on CRPF personnel in Pulwama is despicable. I strongly condemn this dastardly attack. The sacrifices of our brave security personnel shall not go in vain. The entire nation stands shoulder to shoulder with the families of the brave martyrs. May the injured recover quickly.',Namo,Neutral
b'Greetings to @SushmaSwaraj Ji on her birthday. Sushma Ji is one of the most remarkable leaders of our nation. She has distinguished herself as an outstanding Minister and her oratory is par excellence. Her role in strengthening BJP is key. Praying for her long and healthy life.',Namo,Positive
"b'Productivity of the 16th Lok Sabha is exceptionally high, with the average being over 85%. The House took landmark decisions in the interest of the poor, farmers, youth and in eliminating corruption. These will have a transformative impact on India\xe2\x80\x99s growth in the years to come.'",Namo,Positive
"b'Earlier today, spoke at the last sitting of the 16th Lok Sabha. \n\nI congratulate all my fellow Lok Sabha MPs who enriched the proceedings with their insights. \n\nI also congratulate Speaker Sumitra Mahajan Ji for her outstanding efforts as the Speaker of the House. @S_MahajanLS'",Namo,Positive
b'Addressing the #CREDAIYouthCon2019. Watch. https://t.co/CcHwfBuN25',Namo,Positive
b'Speaking in the Lok Sabha. Watch. https://t.co/gZe2KPyjh3',Namo,Positive
"b'In Kurukshetra today, I had the opportunity to see glimpses of some of the toilets that have been painted. \n\nI was impressed, both by the dexterity of the artists and the passion towards cleanliness. \n\nSuch awareness and efforts add valuable strength to the Swachh Bharat Mission. https://t.co/BDLPxiZbjH'",Namo,Positive
"b'You\xe2\x80\x99ve heard of many competitions but we\xe2\x80\x99ve been having a unique one called the Swachh Sundar Shauchalaya, where toilets are to be painted. This fusion of art with cleanliness is commendable. In January, almost 1.3 crore toilets were painted. Well done to all those who took part!'",Namo,Positive
"b'On the way to Kurukshetra, captured a picture of the sacred Brahma Sarovar. \n\nNext time you are travelling to Haryana, do make it a point to see this iconic place and the other tourist places in the state. #IncredibleIndia https://t.co/LEt6vmXm8L'",Namo,Positive
"b'A commitment towards the development of Haryana, including better healthcare and education opportunities. https://t.co/3VAtx0lTFj'",Namo,Positive
b'Increased maternity leave.\n\nFulfilling entreprenurial dreams through Mudra Yojana.\n\nFocus on maternal health. \n\nThe efforts of the NDA Government are contributing towards empowerment of women. https://t.co/F2ZAzrgNmY',Namo,Positive
"b'The Swachh Shakti- 2019 in Haryana\xe2\x80\x99s Kurukshetra was a wonderful occasion to honour the outstanding people who are making the Swachh Bharat Movement stronger at the grassroots level. \n\nIn Kurukshetra, also inaugurated and laid foundation stones for various development works. https://t.co/M8p9WXzISm'",Namo,Positive
"b'This morning, Atal Ji\xe2\x80\x99s portrait at Parliament\xe2\x80\x99s Central Hall was unveiled by Rashtrapati Ji.\n\nIndia is proud of Atal Ji\xe2\x80\x99s landmark contribution to the nation. His leadership took India to newer heights of progress. @rashtrapatibhvn https://t.co/oPT9tzmvbD'",Namo,Positive
b'Addressing a programme in the historic land of Kurukshetra in Haryana. Watch. https://t.co/bx27OQ0E3T',Namo,Positive
b'A tribute to Atal Ji. His portrait has been unveiled at Central Hall. https://t.co/zzBZjZ6kKd',Namo,Positive
b'Know more about some of the major reforms in the oil and gas sector in India during the last four years. https://t.co/yN5PVabR9R',Namo,Positive
b'Prioritising energy justice. https://t.co/sET64EL5KO',Namo,Positive
b'India has taken the lead when it comes to ensuring equality in energy access. \n\nWe are also hopeful that the problems of energy availability globally will be suitably addressed. https://t.co/2ArbUZsSJx',Namo,Positive
b'Had the honour of serving food to children in Vrindavan today. https://t.co/Fs7esScQZA',Namo,Positive
b'3 billion meals and a commitment to serve society! At the Akshaya Patra Foundation programme. https://t.co/Cv5QWwO4Jg',Namo,Positive
b'Towards a vibrant oil and energy sector. Addressing @Petrotech2019. https://t.co/hnhcTvRKJZ',Namo,Positive
"b'Deen Dayal Ji emphasised on honesty in public life. Today on his Punya Tithi, BJP is starting a movement #SamarpanDivas to further transparency and clean money in politics. Urging you all to donate to the Party. The NaMo App is an easy way to do so. I too made my contribution. https://t.co/k5DCukrH4X'",Namo,Positive
b'Remembering Pandit Deen Dayal Upadhyaya Ji on his Punya Tithi. His emphasis on \xe2\x80\x98Integral Humanism\xe2\x80\x99 inspires millions of people. He was known as an exceptional organiser who mentored several patriotic and hardworking Karyakartas. His was a life devoted to nation building.',Namo,Positive
b'I will be in Vrindavan today for a unique programme- to mark the serving of the 3rd billionth meal by the Akshaya Patra Foundation. \n\nCongratulations to all those associated with this mission. Their efforts towards eradicating hunger are exemplary. https://t.co/h1TiwG0PF9',Namo,Positive
"b'Today, will inaugurate @Petrotech2019 and address the inaugural session of the conference.  #PETROTECH2019 brings together leading stakeholders of the oil and gas sectors. This conference will enhance investments in India in the oil and energy sectors. https://t.co/oktAiajSOz'",Namo,Positive
b'Thank you Hubballi for the enthusiasm today! @BJP4Karnataka https://t.co/zeQSPwmsAh',Namo,Positive
"b""Karnataka offers the best trailer of a 'Maha Milawat' government. \n\nOpportunist alliance. \n\nDecisions taken by a few.\n\nConstant bickering over portfolios. \n\nInternal fights. \n\nA helpless CM who becomes a punching bag for all coalition partners. \n\nSuch a Government is disastrous. https://t.co/fftntCTpTv""",Namo,Negative
b'The people of India trust BJP. \n\nOur track record shows we can eliminate corruption and end the culture of middlemen roaming the corridors of power. https://t.co/YIRD492tq4',Namo,Negative
